Link,Name,IATA,ICAO,Location,Latitude,Longitude
https://en.wikipedia.org/wiki/Montgomery_Regional_Airport,Montgomery Regional Airport (Dannelly Field),MGM,KMGM,"Montgomery, Alabama, United States",32.300555555555555,-86.3938888888889
https://en.wikipedia.org/wiki/Baracoa_Regional_Airport,Baracoa Regional Airport,MGN,SKMG,"Magangué, Colombia",9.284722222222221,-74.84583333333333
https://en.wikipedia.org/w/index.php?title=Manega_Airport&action=edit&redlink=1,Manega Airport[1],MGO,,"Manega, Gabon",,
https://en.wikipedia.org/w/index.php?title=Manga_Airport&action=edit&redlink=1,Manga Airport,MGP,,"Manga, Papua New Guinea",,
https://en.wikipedia.org/wiki/Aden_Adde_International_Airport,Aden Adde International Airport,MGQ,HCMM,"Mogadishu, Somalia",2.013611111111111,45.30472222222222
https://en.wikipedia.org/wiki/Moultrie_Municipal_Airport,Moultrie Municipal Airport,MGR,KMGR,"Moultrie, Georgia, United States",31.084999999999997,-83.80333333333333
https://en.wikipedia.org/wiki/Mangaia_Airport,Mangaia Airport,MGS,NCMG,"Mangaia Island, Cook Islands",-21.895833333333332,-157.90666666666667
https://en.wikipedia.org/wiki/Milingimbi_Airport,Milingimbi Airport,MGT,YMGB,"Milingimbi Island, Northern Territory, Australia",-12.094444444444445,134.8936111111111
https://en.wikipedia.org/wiki/Manaung_Airport,Manaung Airport[1],MGU,VYMN,"Manaung, Myanmar",18.84611111111111,93.68277777777779
https://en.wikipedia.org/w/index.php?title=Margaret_River_Station_Airport&action=edit&redlink=1,Margaret River Station Airport,MGV,YMGR,"Margaret River Station, Western Australia, Australia",,
https://en.wikipedia.org/wiki/Morgantown_Municipal_Airport,Morgantown Municipal Airport (Walter L. Bill Hart Field),MGW,KMGW,"Morgantown, West Virginia, United States",39.64277777777778,-79.91638888888889
https://en.wikipedia.org/wiki/Moabi_Airport,Moabi Airport,MGX,FOGI,"Moabi, Gabon",-2.454166666666667,10.933333333333334
https://en.wikipedia.org/wiki/Dayton%E2%80%93Wright_Brothers_Airport,Dayton–Wright Brothers Airport,MGY,KMGY,"Dayton, Ohio, United States",39.58888888888889,-84.22500000000001
https://en.wikipedia.org/wiki/Myeik_Airport,Myeik Airport,MGZ,VYME,"Myeik, Myanmar",12.439722222222223,98.62138888888889
https://en.wikipedia.org/wiki/Mahdia_Airport,Mahdia Airport,MHA,SYMD,"Mahdia, Guyana",5.269444444444445,-59.14722222222222
https://en.wikipedia.org/wiki/Mocopulli_Airport,Mocopulli Airport,MHC,SCPQ,"Castro, Chile",-42.34027777777778,-73.71555555555555
https://en.wikipedia.org/wiki/Mashhad_International_Airport,Mashhad International Airport (Shahid Hashemi Nejad Airport),MHD,OIMM,"Mashhad, Iran",36.235,59.64083333333333
https://en.wikipedia.org/wiki/Mitchell_Municipal_Airport,Mitchell Municipal Airport,MHE,KMHE,"Mitchell, South Dakota, United States",43.77472222222222,-98.03861111111111
https://en.wikipedia.org/w/index.php?title=Morichal_Airport&action=edit&redlink=1,Morichal Airport,MHF,,"Morichal, Colombia",,
https://en.wikipedia.org/wiki/Mannheim_City_Airport,Mannheim City Airport,MHG,EDFM,"Mannheim, Baden-Württemberg, Germany",49.472500000000004,8.514166666666666
https://en.wikipedia.org/wiki/Marsh_Harbour_Airport,Marsh Harbour Airport,MHH,MYAM,"Marsh Harbour, Abaco Islands, Bahamas",26.511388888888888,-77.08361111111111
https://en.wikipedia.org/wiki/Moucha_Airport,Moucha Airport,MHI,HDMO,"Moucha Island, Djibouti",11.716666666666667,43.2
https://en.wikipedia.org/wiki/Manhattan_Regional_Airport,Manhattan Regional Airport,MHK,KMHK,"Manhattan, Kansas, United States",39.14111111111111,-96.67166666666667
https://en.wikipedia.org/wiki/Marshall_Memorial_Municipal_Airport,Marshall Memorial Municipal Airport,MHL,KMHL,"Marshall, Missouri, United States",39.095555555555556,-93.20277777777778
https://en.wikipedia.org/w/index.php?title=Hooker_County_Airport&action=edit&redlink=1,Hooker County Airport,MHN,KMHN,"Mullen, Nebraska, United States",,
https://en.wikipedia.org/w/index.php?title=Mount_House_Airport&action=edit&redlink=1,Mount House Airport,MHO,YMHO,"Mount House Station, Western Australia, Australia",,
https://en.wikipedia.org/wiki/Minsk-1_Airport,Minsk-1 Airport,MHP,UMMM,"Minsk, Belarus",53.864444444444445,27.539722222222224
https://en.wikipedia.org/wiki/Mariehamn_Airport,Mariehamn Airport,MHQ,EFMA,"Mariehamn, Åland Islands, Finland",60.121944444444445,19.89638888888889
https://en.wikipedia.org/wiki/Sacramento_Mather_Airport,Sacramento Mather Airport,MHR,KMHR,"Sacramento, California, United States",38.553888888888885,-121.2975
https://en.wikipedia.org/wiki/Dunsmuir_Municipal-Mott_Airport,Dunsmuir Municipal-Mott Airport[1] (FAA: 1O6),MHS,,"Mount Shasta, California, United States",41.26305555555555,-122.27222222222223
https://en.wikipedia.org/wiki/Manchester%E2%80%93Boston_Regional_Airport,Manchester–Boston Regional Airport,MHT,KMHT,"Manchester, New Hampshire, United States",42.9325,-71.43555555555555
https://en.wikipedia.org/wiki/Mount_Hotham_Airport,Mount Hotham Airport,MHU,YHOT,"Mount Hotham, Victoria, Australia",-37.0475,147.33416666666668
https://en.wikipedia.org/wiki/Mojave_Air_and_Space_Port,Mojave Air and Space Port,MHV,KMHV,"Mojave, California, United States",35.05939865,-118.15200039999999
https://en.wikipedia.org/wiki/Monteagudo_Airport,Monteagudo Airport[1],MHW,SLAG,"Monteagudo, Bolivia",-19.82361111111111,-63.962500000000006
https://en.wikipedia.org/wiki/Manihiki_Island_Airport,Manihiki Island Airport,MHX,NCMH,"Manihiki, Cook Islands",-10.380555555555556,-160.9997222222222
https://en.wikipedia.org/w/index.php?title=Morehead_Airport_(Papua_New_Guinea)&action=edit&redlink=1,Morehead Airport,MHY,,"Morehead, Papua New Guinea",,
https://en.wikipedia.org/wiki/RAF_Mildenhall,RAF Mildenhall,MHZ,EGUN,"Mildenhall, England, United Kingdom",52.361900329589844,0.4864059984683991
https://en.wikipedia.org/wiki/Miami_International_Airport,Miami International Airport,MIA,KMIA,"Miami, Florida, United States",25.793333333333337,-80.29055555555556
https://en.wikipedia.org/wiki/Minot_Air_Force_Base,Minot Air Force Base,MIB,KMIB,"Minot, North Dakota, United States",48.4156,-101.358002
https://en.wikipedia.org/wiki/Crystal_Airport_(Minnesota),Crystal Airport,MIC,KMIC,"Minneapolis / St Paul, Minnesota, United States",45.06194444444444,-93.35388888888889
https://en.wikipedia.org/wiki/Manuel_Crescencio_Rej%C3%B3n_International_Airport,Manuel Crescencio Rejón International Airport,MID,MMMD,"Mérida, Yucatán, Mexico",20.936944444444446,-89.65777777777778
https://en.wikipedia.org/wiki/Delaware_County_Regional_Airport,Delaware County Regional Airport,MIE,KMIE,"Muncie, Indiana, United States",40.2425,-85.39583333333334
https://en.wikipedia.org/w/index.php?title=Roy_Hurd_Memorial_Airport&action=edit&redlink=1,Roy Hurd Memorial Airport (FAA: E01),MIF,,"Monahans, Texas, United States",,
https://en.wikipedia.org/wiki/Mianyang_Nanjiao_Airport,Mianyang Nanjiao Airport,MIG,ZUMY,"Mianyang, Sichuan, China",31.43,104.73972222222223
https://en.wikipedia.org/w/index.php?title=Mitchell_Plateau_Airport&action=edit&redlink=1,Mitchell Plateau Airport,MIH,YMIP,"Mitchell Plateau, Western Australia, Australia",,
https://en.wikipedia.org/wiki/Mar%C3%ADlia_Airport,Frank Miloye Milenkowichi–Marília State Airport,MII,SBML,"Marília, São Paulo, Brazil",-22.195555555555554,-49.926944444444445
https://en.wikipedia.org/wiki/Mili_Airport,Mili Airport (FAA: 1Q9),MIJ,MLIP,"Mili Atoll, Marshall Islands",6.085,171.7313888888889
https://en.wikipedia.org/wiki/Mikkeli_Airport,Mikkeli Airport,MIK,EFMI,"Mikkeli, Finland",61.686388888888885,27.2
https://en.wikipedia.org#endnote_1,metropolitan area1,MIL[1],,"Milan, Lombardy, Italy",,
https://en.wikipedia.org/wiki/Merimbula_Airport,Merimbula Airport,MIM,YMER,"Merimbula, New South Wales, Australia",-36.90861111111111,149.9013888888889
https://en.wikipedia.org/w/index.php?title=Minnipa_Airport&action=edit&redlink=1,Minnipa Airport,MIN,YMPA,"Minnipa, South Australia, Australia",,
https://en.wikipedia.org/wiki/Miami_Municipal_Airport,Miami Municipal Airport,MIO,KMIO,"Miami, Oklahoma, United States",36.909166666666664,-94.8875
https://en.wikipedia.org/wiki/Mitzpe_Ramon_Airport,Mitzpe Ramon Airport,MIP,LLMR,"Mitzpe Ramon, Israel",30.65222222222222,34.806666666666665
